team_name,team_location,team_mascot,team_abbr,team_code,team_id_num,level,league_name,parent_org_name,parent_org_id,team_logo,team_cap_logo_on_light,team_dot_logo
DSL Pirates Gold,DSL Pirates Gold,DSL Pirates Gold,D-PIG,dpd,4404,Rookie,Dominican Summer League,Pittsburgh Pirates,134,https://www.mlbstatic.com/team-logos/4404.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/4404.svg,https://midfield.mlbstatic.com/v1/team/4404/spots/500
FCL Pirates,FCL Pirates,FCL Pirates,F-PIR,fpi,470,Rookie,Florida Complex League,Pittsburgh Pirates,134,https://www.mlbstatic.com/team-logos/470.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/470.svg,https://midfield.mlbstatic.com/v1/team/470/spots/500
Pittsburgh Pirates,Pittsburgh,Pirates,PIT,pit,134,MLB,National League,Pittsburgh Pirates,134,https://www.mlbstatic.com/team-logos/134.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/134.svg,https://midfield.mlbstatic.com/v1/team/134/spots/500
Indianapolis Indians,Indianapolis,Indians,IND,ind,484,AAA,International League,Pittsburgh Pirates,134,https://www.mlbstatic.com/team-logos/484.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/484.svg,https://midfield.mlbstatic.com/v1/team/484/spots/500
Altoona Curve,Altoona,Curve,ALT,alt,452,AA,Eastern League,Pittsburgh Pirates,134,https://www.mlbstatic.com/team-logos/452.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/452.svg,https://midfield.mlbstatic.com/v1/team/452/spots/500
Greensboro Grasshoppers,Greensboro,Grasshoppers,GBO,gbo,477,A+,South Atlantic League,Pittsburgh Pirates,134,https://www.mlbstatic.com/team-logos/477.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/477.svg,https://midfield.mlbstatic.com/v1/team/477/spots/500
Bradenton Marauders,Bradenton,Marauders,BRD,bra,3390,A,Florida State League,Pittsburgh Pirates,134,https://www.mlbstatic.com/team-logos/3390.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/3390.svg,https://midfield.mlbstatic.com/v1/team/3390/spots/500
DSL Padres Gold,DSL Padres Gold,DSL Padres Gold,D-PAG,dpg,2122,Rookie,Dominican Summer League,San Diego Padres,135,https://www.mlbstatic.com/team-logos/2122.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/2122.svg,https://midfield.mlbstatic.com/v1/team/2122/spots/500
ACL Padres,ACL Padres,ACL Padres,A-PAD,asd,410,Rookie,Arizona Complex League,San Diego Padres,135,https://www.mlbstatic.com/team-logos/410.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/410.svg,https://midfield.mlbstatic.com/v1/team/410/spots/500
DSL Padres Brown,DSL Padres Brown,DSL Padres Brown,D-PAB,dpb,622,Rookie,Dominican Summer League,San Diego Padres,135,https://www.mlbstatic.com/team-logos/622.svg,https://www.mlbstatic.com/team-logos/team-cap-on-light/622.svg,https://midfield.mlbstatic.com/v1/team/622/spots/500
